id_cruce,nombre_comuna,comuna,latitud,longitud,reporte_num,fecha_hora,velocidad_kmh,num_vehiculos
402,GUAYABAL,15,6.222722,-75.584353,1,2026-09-21 01:07:00,16.4,18
402,GUAYABAL,15,6.222722,-75.584353,2,2026-09-16 20:14:00,22.7,7
402,GUAYABAL,15,6.222722,-75.584353,3,2026-09-20 01:05:00,47.5,3
402,GUAYABAL,15,6.222722,-75.584353,4,2026-09-14 13:05:00,27.0,33
402,GUAYABAL,15,6.222722,-75.584353,5,2026-09-20 16:01:00,45.9,35
402,GUAYABAL,15,6.222722,-75.584353,6,2026-09-18 17:14:00,39.7,18
402,GUAYABAL,15,6.222722,-75.584353,7,2026-09-14 07:48:00,59.3,28
402,GUAYABAL,15,6.222722,-75.584353,8,2026-09-17 21:17:00,23.6,22
402,GUAYABAL,15,6.222722,-75.584353,9,2026-09-15 08:05:00,35.9,23
402,GUAYABAL,15,6.222722,-75.584353,10,2026-09-17 22:38:00,29.5,3
403,GUAYABAL,15,6.226615,-75.583569,1,2026-09-19 03:34:00,21.9,25
403,GUAYABAL,15,6.226615,-75.583569,2,2026-09-15 02:35:00,31.1,40
403,GUAYABAL,15,6.226615,-75.583569,3,2026-09-18 02:36:00,25.6,5
403,GUAYABAL,15,6.226615,-75.583569,4,2026-09-14 17:42:00,27.5,19
403,GUAYABAL,15,6.226615,-75.583569,5,2026-09-15 02:54:00,27.8,7
403,GUAYABAL,15,6.226615,-75.583569,6,2026-09-18 07:17:00,39.9,24
403,GUAYABAL,15,6.226615,-75.583569,7,2026-09-15 23:23:00,34.5,18
403,GUAYABAL,15,6.226615,-75.583569,8,2026-09-21 03:04:00,48.5,11
403,GUAYABAL,15,6.226615,-75.583569,9,2026-09-19 22:46:00,28.5,30
403,GUAYABAL,15,6.226615,-75.583569,10,2026-09-18 07:17:00,69.4,36
404,BELEN,16,6.232037,-75.582776,1,2026-09-16 14:43:00,32.8,4
404,BELEN,16,6.232037,-75.582776,2,2026-09-16 16:52:00,16.8,21
404,BELEN,16,6.232037,-75.582776,3,2026-09-18 12:17:00,18.6,37
404,BELEN,16,6.232037,-75.582776,4,2026-09-17 14:13:00,51.0,26
404,BELEN,16,6.232037,-75.582776,5,2026-09-21 02:29:00,22.9,9
404,BELEN,16,6.232037,-75.582776,6,2026-09-16 21:47:00,45.9,17
404,BELEN,16,6.232037,-75.582776,7,2026-09-20 11:27:00,64.4,26
404,BELEN,16,6.232037,-75.582776,8,2026-09-18 02:14:00,69.9,9
